Operation,Level,Operator,Time,Source,Terminal IP Address,Operation Object,Result,Details
Transparent transmission of MML commands,Minor,basharad,"	16/09/2025 12:00:03 +03:00",MmlService,192.168.27.31,5244-UL_Tabarbour_Shaheed_Shamali_TASC_O,Successful,"Function:[Configuration Management][MML Command]
DSP LICINFO:;"
Query Trace Server Ftp Information,Minor,smart_optz_user,"	16/09/2025 12:00:01 +03:00",Data Collection,10.33.30.152,OSS,Successful,"Function: [Data Collection Management][Basic Information Collection]
Query Trace Server Ftp Information Successful"
Start monitoring,Minor,smart_optz_user,"	16/09/2025 12:00:00 +03:00",Data Collection,10.33.30.152,OSS,Successful,"Function: [Data Collection Management][Basic Information Collection]
Start monitoring NE connection status
----------------------------------------
NE type list: BTS3900 WCDMA,BSC6900GSM,BSC6900UMTS,BTS3900,BTS3900 LTE,BSC6910UMTS,BTS5900,BTS5900 WCDMA,
Current NE type list: BTS3900 WCDMA,BSC6900GSM,BSC6900UMTS,BTS3900,BTS3900 LTE,BSC6910UMTS,BTS5900,BTS5900 WCDMA,
"
Configuration Report Query,Minor,Hosni.Olayan,"	16/09/2025 11:59:37 +03:00",CMEServer,192.168.19.229,The Current Area,Successful,"[Module]: Configuration Report Management
[Consume(s)]: 19
[Result]: Successful
[Scenario]: Report Query successfully. name:EUTRANINTERNFREQ HO. type:Co-MPT BTS.
Queried MOCs: 2, ATTRs: 85, NEs: 3328, "
Query Task Detail,Minor,Hosni.Olayan,"	16/09/2025 11:59:20 +03:00",CMEFaceService,192.168.19.229,Task Management,Successful,"[Task ID]: dab348e3-a916-4606-8898-9382d2e277a4 
[Result]: ."
Query report results by condition (report type).,Minor,Hosni.Olayan,"	16/09/2025 11:59:16 +03:00",CMEFaceService,192.168.19.229,Query report results by condition (report type).,Successful,Query report results by condition (report type).
Transparent transmission of MML commands,Minor,basharad,"	16/09/2025 11:59:14 +03:00",MmlService,192.168.27.31,4845-UL_Hashmi_Housing_CTR_Tasc_O,Successful,"Function:[Configuration Management][MML Command]
DSP LICINFO:;"
Get unieye mode list,Minor,Hosni.Olayan,"	16/09/2025 11:59:12 +03:00",CMEFaceService,192.168.19.229,Get unieye mode list,Successful,Get unieye mode list
Check the information of configuration report.,Minor,Hosni.Olayan,"	16/09/2025 11:59:09 +03:00",CMEFaceService,192.168.19.229,Check the information of configuration report.,Successful,Check the information of configuration report.
query report list,Minor,Hosni.Olayan,"	16/09/2025 11:59:01 +03:00",CMEFaceService,192.168.19.229,for querying report list,Successful,query report list
create report,Minor,Hosni.Olayan,"	16/09/2025 11:59:01 +03:00",CMEFaceService,192.168.19.229,create report,Successful,create report
Create configuration report,Minor,Hosni.Olayan,"	16/09/2025 11:59:01 +03:00",CMEServer,192.168.19.229,EUTRANINTERNFREQ HO,Successful,"[Module]: Configuration Report Management
[Consume(s)]: 1
[Result]: Successful
[Scenario]: Configuration report created successfully. name:EUTRANINTERNFREQ HO. type:Co-MPT BTS & Physical Base Station."
Add report fields for create report,Minor,Hosni.Olayan,"	16/09/2025 11:58:50 +03:00",CMEFaceService,192.168.19.229,Add report fields for create report,Successful,Add report fields for create report
Add report fields for create report,Minor,Hosni.Olayan,"	16/09/2025 11:58:46 +03:00",CMEFaceService,192.168.19.229,Add report fields for create report,Successful,Add report fields for create report
Add report fields for create report,Minor,Hosni.Olayan,"	16/09/2025 11:58:35 +03:00",CMEFaceService,192.168.19.229,Add report fields for create report,Successful,Add report fields for create report
Add report fields for create report,Minor,Hosni.Olayan,"	16/09/2025 11:58:24 +03:00",CMEFaceService,192.168.19.229,Add report fields for create report,Successful,Add report fields for create report
query report Moc,Minor,Hosni.Olayan,"	16/09/2025 11:58:22 +03:00",CMEFaceService,192.168.19.229,for querying report Moc,Successful,query report Moc
List the user group,Minor,Hosni.Olayan,"	16/09/2025 11:58:22 +03:00",CMEFaceService,192.168.19.229,List the user group,Successful,List the user group
query available folder by report type,Minor,Hosni.Olayan,"	16/09/2025 11:58:20 +03:00",CMEFaceService,192.168.19.229,query available folder by report type,Successful,query available folder by report type
query report selection conditions,Minor,Hosni.Olayan,"	16/09/2025 11:58:19 +03:00",CMEFaceService,192.168.19.229,for querying report selection conditions,Successful,query report selection conditions
query report type list,Minor,Hosni.Olayan,"	16/09/2025 11:58:19 +03:00",CMEFaceService,192.168.19.229,query report type list,Successful,query report type list
query report selection conditions,Minor,Hosni.Olayan,"	16/09/2025 11:58:19 +03:00",CMEFaceService,192.168.19.229,for querying report selection conditions,Successful,query report selection conditions
Transparent transmission of MML commands,Minor,laith.al-habashneh,"	16/09/2025 11:57:58 +03:00",MmlService,172.23.16.115,HQ-vUSN,Failed,"Function:[Configuration Management][MML Command]
DSP MMCTX:QUERYOPT=BYIMSI,IMSI=""416011032365167"";
Record does not exist."
Transparent transmission of MML commands,Minor,laith.al-habashneh,"	16/09/2025 11:57:58 +03:00",MmlService,172.23.16.115,AA-vUSN,Successful,"Function:[Configuration Management][MML Command]
DSP MMCTX:QUERYOPT=BYIMSI,IMSI=""416011032365167"";"
Transparent transmission of MML commands,Minor,Mutaz.Alkhateeb,"	16/09/2025 11:57:28 +03:00",MmlService,192.168.27.71,544-UL_Princess_Haya_Ave_Hummar_PF_TASC,Successful,"Function:[Configuration Management][MML Command]
LST OPTLOG:ST=2025&09&08&12&00&00,ET=2025&09&08&14&00&00,MAX=1000;"
Transparent transmission of MML commands,Minor,laith.al-habashneh,"	16/09/2025 11:57:01 +03:00",MmlService,172.23.16.115,HQ-vUSN,Failed,"Function:[Configuration Management][MML Command]
DSP MMCTX:QUERYOPT=BYIMSI,IMSI=""416011017306317"";
Record does not exist."
Transparent transmission of MML commands,Minor,laith.al-habashneh,"	16/09/2025 11:57:01 +03:00",MmlService,172.23.16.115,AA-vUSN,Successful,"Function:[Configuration Management][MML Command]
DSP MMCTX:QUERYOPT=BYIMSI,IMSI=""416011017306317"";"
Download Task Report,Minor,Hosni.Olayan,"	16/09/2025 11:57:01 +03:00",CMEUniFSService,192.168.19.229,Task Management,Successful,Download Task Report
Query Task Detail,Minor,Hosni.Olayan,"	16/09/2025 11:57:00 +03:00",CMEFaceService,192.168.19.229,Task Management,Successful,"[Task ID]: dab348e3-a916-4606-8898-9382d2e277a4 
[Result]: ."
Query and filter report results based on conditions (report type) for page display.,Minor,Hosni.Olayan,"	16/09/2025 11:56:56 +03:00",CMEFaceService,192.168.19.229,Query and filter report results based on conditions (report type) for page display.,Successful,Query and filter report results based on conditions (report type) for page display.
Checking Whether the Report Query Result Exceeds the Page Display Limit.,Minor,Hosni.Olayan,"	16/09/2025 11:56:56 +03:00",CMEFaceService,192.168.19.229,Checking Whether the Report Query Result Exceeds the Page Display Limit.,Successful,Checking Whether the Report Query Result Exceeds the Page Display Limit.
Configuration Report Query,Minor,Hosni.Olayan,"	16/09/2025 11:56:49 +03:00",CMEServer,192.168.19.229,The Current Area,Successful,"[Module]: Configuration Report Management
[Consume(s)]: 6
[Result]: Successful
[Scenario]: Report Query successfully. name:EUTRANINTERNFREQ - CO - EJ. type:Co-MPT BTS.
Queried MOCs: 2, ATTRs: 5, NEs: 3328, "
Download File,Minor,Abdallah.Younes,"	16/09/2025 11:56:48 +03:00",OSSFileService,192.168.19.18,UMTS_Cell_Report_20250916115612.csv,Successful,"Download and delete file, file name: UMTS_Cell_Report_20250916115612.csv"
Query report results by condition (report type).,Minor,Hosni.Olayan,"	16/09/2025 11:56:39 +03:00",CMEFaceService,192.168.19.229,Query report results by condition (report type).,Successful,Query report results by condition (report type).
